id,send_date,resp_date,days_to_resp,t_mohammad,t_good,treatments,resp_true,reject1,unclear1,accept1,school_type,bigcity,region,above_median_student,above_median_grades,above_median_non_danes
925,2017-03-05,2017-03-06,1,1,0,1,1,0,0,1,1,0,Region Sjælland,0,NA,1
926,2017-03-05,2017-03-06,1,1,1,0,0,1,0,0,1,1,Region Hovedstaden,1,0,1
927,2017-03-05,2017-03-10,5,0,0,3,1,1,0,0,1,0,Region Syddanmark,1,0,1
928,2017-03-05,2017-03-06,1,0,1,2,1,0,1,0,1,0,Region Nordjylland,1,NA,1
929,2017-03-05,NA,NA,0,0,3,0,1,0,0,1,0,Region Syddanmark,0,0,0
930,2017-03-05,2017-03-06,1,0,1,2,1,0,1,0,1,1,Region Hovedstaden,1,0,1
931,2017-03-05,2017-03-08,3,0,1,2,1,0,1,0,1,1,Region Hovedstaden,1,0,1
932,2017-03-05,2017-03-06,1,1,1,0,1,0,1,0,1,1,Region Hovedstaden,1,1,1
933,2017-03-05,2017-03-06,1,0,0,3,0,1,0,0,0,0,Region Sjælland,0,NA,0
934,2017-03-05,2017-03-05,0,1,0,1,0,1,0,0,1,0,Region Syddanmark,1,0,0
935,2017-03-05,2017-03-07,2,0,1,2,0,1,0,0,1,0,Region Sjælland,1,0,0
936,2017-03-05,2017-03-05,0,1,1,0,0,1,0,0,1,1,Region Midtjylland,1,1,1
937,2017-03-05,NA,NA,0,1,2,0,1,0,0,1,1,Region Hovedstaden,1,0,1
938,2017-03-05,NA,NA,1,1,0,0,1,0,0,1,1,Region Nordjylland,0,NA,0
939,2017-03-05,2017-03-06,1,0,1,2,1,0,1,0,1,0,Region Sjælland,1,0,1
940,2017-03-05,2017-03-06,1,1,0,1,1,1,0,0,0,1,Region Hovedstaden,0,1,1
941,2017-03-05,2017-03-06,1,1,1,0,1,0,1,0,1,1,Region Syddanmark,1,1,0
942,2017-03-05,NA,NA,0,0,3,0,1,0,0,1,1,Region Hovedstaden,1,1,0
943,2017-03-05,2017-03-05,0,0,1,2,1,0,1,0,0,0,Region Syddanmark,0,NA,1
944,2017-03-05,2017-03-06,1,1,0,1,1,1,0,0,1,1,Region Hovedstaden,1,1,0
945,2017-03-05,NA,NA,1,1,0,0,1,0,0,1,1,Region Hovedstaden,1,1,0
946,2017-03-05,2017-03-06,1,0,0,3,1,0,0,1,1,0,Region Sjælland,1,0,1
