female,treatment,age,education,lived_pov,bribe,widespread
1,0,26,4,0.2,NA,0
1,1,25,4,1.8,1,0
1,1,30,4,2.2,NA,1
0,0,41,3,0.60000002,0,1
0,1,40,4,0.40000001,0,0
0,1,28,4,1.4,NA,1
1,0,24,3,1.4,NA,0
1,0,38,3,1.6,NA,0
1,1,28,3,1.6,NA,0
1,1,30,3,1.6,0,0
1,1,30,3,0.80000001,0,0
1,1,49,4,0,NA,0
1,0,24,3,1.8,NA,1
0,1,25,1,2,NA,1
0,1,72,3,1.4,0,1
0,0,52,3,0.80000001,NA,1
1,1,33,4,1.4,NA,1
1,1,19,4,1.4,NA,1
1,0,20,3,0.60000002,0,1
0,0,67,3,0.2,0,1
0,1,38,3,1.6,0,1
0,1,37,4,1.2,NA,1
1,0,49,3,0.80000001,NA,1
1,1,61,2,0.80000001,0,1
1,1,23,4,0.2,NA,1
0,0,78,3,0.80000001,NA,0
0,1,38,4,1.8,NA,1
0,1,32,4,1.4,0,1
1,0,21,4,1.2,NA,1
1,1,45,4,0.80000001,NA,1
1,1,29,3,1,0,1
1,0,26,3,0,1,1
1,1,30,3,0,NA,1
1,1,35,2,0,1,1
0,1,38,4,2.2,0,1
0,1,20,4,0,NA,1
0,0,42,4,0,NA,1
1,0,21,4,2.4000001,0,0
0,1,52,3,2.4000001,NA,1
0,1,62,3,2,0,0
0,0,29,4,1.6,NA,1
1,0,40,3,1.2,0,0
1,1,50,4,1,NA,0
0,0,25,3,2.8,NA,0
0,1,22,4,1.8,NA,0
0,1,31,4,2.2,1,0
1,0,36,4,2.2,1,0
1,1,42,3,2,1,0
1,1,40,4,1.6,NA,0
1,1,37,3,2.4000001,NA,0
1,1,27,3,0.2,0,0
1,0,38,3,1,1,0
1,1,29,4,1,0,1
1,1,56,4,0.80000001,NA,1
1,0,37,3,1.2,NA,1
1,1,32,3,1.2,1,1
0,1,30,3,3.2,NA,0
0,0,30,4,0.40000001,0,0
0,1,35,4,2,NA,0
0,0,35,4,1.6,1,0
0,1,55,4,1.6,NA,0
0,1,27,4,0.60000002,1,1
0,1,26,4,0.40000001,NA,1
1,0,53,3,1,NA,1
1,1,25,3,0,NA,1
1,1,40,4,0.40000001,0,1
1,0,25,3,0.80000001,0,0
1,1,45,3,2,NA,1
1,1,33,4,1,0,1
0,0,28,4,1.4,NA,1
0,1,27,3,0.2,NA,1
1,1,23,3,2,1,1
1,1,28,4,1.2,NA,0
1,0,39,3,0.80000001,NA,0
1,0,24,4,1.4,NA,0
1,1,43,4,0.80000001,NA,0
1,1,23,3,2.4000001,0,1
1,0,23,4,1.8,NA,1
1,0,18,3,0,NA,1
1,1,36,4,0,NA,1
1,1,37,3,0,NA,1
