state,dist,incumbent,repvoteshare,repspending,demspending,trumpvoteshare,lagrepvoteshare
"IL",7,"D",.1238,0,13.22315,.0952,.1576
"IL",8,"D",.3403,10.8563,14.49008,.3852,.4169
"IL",9,"D",.2651,11.22085,14.20743,.2621,.3352
"IL",10,"D",.3441001,12.58284,15.04617,.3446,.4739
"IL",11,"D",.3616,12.58263,14.38535,.3754,.3955
"IL",12,"R",.5319,14.87159,15.1834,.5777,.5777
"IL",13,"R",.5038,15.20583,15.26426,.5293,.5966
"IL",14,"R",.475,14.6913,15.40258,.5209,.593
"IL",15,"R",.7093,14.40902,10.88802,.7426,1
"IL",16,"R",.5912,14.65443,12.89344,.5917,1
"IL",17,"D",.3791,10.31318,14.96409,.5037,.3969
"IL",18,"R",.6723,14.02528,11.20377,.6454,.7213
"IN",1,"D",.3491001,0,13.86811,.4341,0
"IN",2,"R",.5484,14.8628,15.21815,.6216,.6161
"IN",3,"R",.6473,13.93744,13.6556,.6838,.7531
"IN",5,"R",.5676,14.46703,12.04546,.5625,.6418999
"IN",7,"D",.3514,5.849325,13.7839,.3803,.3731
"IN",8,"R",.6443,13.86295,12.34539,.6764,.6677999
"IN",9,"R",.5648,14.21979,14.73894,.6411,.5723
"IA",1,"R",.4739,14.83612,15.33564,.5186,.5384
"IA",2,"D",.4374,13.65763,14.67887,.5218,.4626
"IA",3,"R",.4888,14.88491,15.46857,.5187,.5737
"IA",4,"R",.5171,13.79185,14.99055,.6451,.6132
"KS",1,"R",.6815,13.53207,12.27568,.7404,1
"KS",3,"R",.4504,15.41815,15.39493,.4936,.5582
"KS",4,"R",.5944,14.27265,14.21004,.6459,.6720001
"KY",1,"R",.6859,13.36525,10.82146,.7518,.7264
"KY",2,"R",.6823,14.37076,12.06728,.7098,1
"KY",3,"D",.3707,13.4782,13.9699,.4209,.365
"KY",4,"R",.6428,12.88853,10.55221,.6899,.7132
"KY",5,"R",.7895,13.79672,7.703459,.8198,1
"KY",6,"R",.5163,15.54754,15.93792,.5813,.6109
"LA",1,"R",.7292,16.31687,0,.7201,1
"LA",3,"R",.6925,13.69089,0,.6974,1
"LA",4,"R",.6564,13.72011,10.0934,.6235,.6523
"LA",5,"R",.6895,13.85238,9.954988,.6506,1
"LA",6,"R",.7086,14.41337,0,.6764,1
"ME",1,"D",.3559,11.46659,13.90013,.4208,.4197
"ME",2,"R",.4938,15.26336,15.55308,.5557,.548
"MD",1,"R",.6116,14.47577,14.40722,.6488,.7007
"MD",2,"D",.3175,10.52972,13.78617,.3716,.348
"MD",3,"D",.2903,0,13.4849,.3379,.349
"MD",4,"D",.2028,0,13.22697,.1981,.2243
"MD",5,"D",.2781,0,15.24727,.3389,.3036
"MD",7,"D",.2176,9.772296,13.94782,.2135,.2255
"MD",8,"D",.3072,0,13.67905,.3236,.361
"MA",2,"D",.328,10.5029,14.07821,.3957,0
"MA",5,"D",.2406,0,14.16993,.2705,0
"MA",6,"D",.325,12.48293,14.80548,.4051,0
"MA",9,"D",.406,13.66065,13.25282,.4433,.3763
"MI",1,"R",.5632,14.18442,14.11668,.6127,.5781
"MI",2,"R",.5628,14.59475,14.06821,.5936,.6581
"MI",3,"R",.5576,13.55385,11.97593,.5501,.6132
"MI",4,"R",.6262,13.90266,0,.6316,.6577
"MI",5,"D",.3763,0,13.85838,.4779,.3647
"MI",6,"R",.5237,15.09103,14.18925,.5446,.617
"MI",7,"R",.538,14.63463,14.81172,.59,.579
"MI",8,"R",.4803,15.03791,15.8235,.5354,.5885
"MI",10,"R",.6328,13.46398,10.8056,.6688,.6614
"MI",12,"D",.2979,11.32124,14.03948,.362,.3126
"MI",14,"D",.1764,0,13.27696,.1877,.1922
"MN",2,"R",.4724,14.88994,15.52938,.5065,.5097
"MN",3,"R",.4428,15.59194,15.65067,.449,.5686
"MN",4,"D",.3107,9.948078,13.76734,.3322,.3732
"MN",6,"R",.612,14.59099,11.30931,.6395,.6568
"MN",7,"D",.4787,12.462,14.2213,.6659,.4748
"MS",1,"R",.6738,13.70738,11.96379,.6687,.7109
