baseline_age,baseline_previousinvest,baseLine_female,treatment,baseline_cons_vote,baseline_lab_vote,baseline_noedu,baseline_SocioeconomicValues,SocioeconomicValues_post
58,1,0,1,1,0,0,-0.015635539,-0.90544629
70,0,1,1,1,0,0,1.3734096,-0.31878862
42,0,1,1,0,0,0,-1.0563827,-0.23369342
45,1,1,0,0,1,0,0.11784552,0.50697947
68,0,1,1,0,0,0,0.55527538,0.10888845
50,0,0,1,0,1,0,1.4173172,2.506063
45,0,0,1,1,0,0,-0.51649106,0.0047657462
35,0,0,1,1,0,0,1.5765045,1.4031295
57,1,1,1,0,0,0,0.11762471,0.67651862
24,0,1,1,1,0,0,0.87255406,0.61110216
20,0,1,1,1,0,0,1.3538915,0.526007
28,0,0,0,0,0,0,-1.7346268,-2.4965315
50,1,1,0,0,0,0,-0.015635539,-0.69160777
66,0,1,1,0,0,0,0.30164313,-1.3718296
41,0,1,1,1,0,0,0.84131402,0.81647176
30,0,0,1,0,1,0,-0.83376974,-0.94974571
48,0,0,1,0,0,0,1.0561309,0.89882612
31,0,1,1,0,0,0,-2.9074681,-2.4304638
28,0,1,1,0,0,0,-1.557459,-1.7614517
59,0,1,0,1,0,0,-0.86478901,-1.1277539
20,0,0,1,0,1,0,-0.71980673,-0.3272576
40,0,1,1,1,0,0,1.7410048,1.5213143
56,0,1,1,0,1,0,-3.2118585,-2.4662943
36,1,1,0,0,1,0,-1.8242003,0.26786906
40,1,0,0,1,0,0,0.37125698,0.82494074
73,0,0,1,0,0,0,-0.028523784,-0.0037032294
59,1,0,1,1,0,0,-1.6390157,-0.52415818
66,0,0,1,1,0,0,1.0885372,2.1930671
52,1,1,1,1,0,0,-0.75104684,-1.3120064
52,0,1,1,0,0,0,-0.11671027,0.40782219
59,1,0,1,0,0,0,-1.1508276,-0.9990105
40,0,0,0,0,0,0,-0.51649106,1.0387793
38,0,0,0,0,0,0,-0.015635539,-0.26393071
18,0,0,1,0,0,0,-2.4764471,-1.9943178
34,0,1,0,1,0,0,1.0561309,0.10888845
72,0,0,0,0,1,0,1.1893911,1.1041957
59,0,1,1,0,1,0,-1.1186421,-2.4219947
28,0,1,1,0,0,0,1.1893911,0.47323862
29,0,1,1,0,1,0,-1.087402,-1.462518
40,0,0,1,0,1,0,-0.38323078,-0.47776923
60,0,0,1,1,0,0,0.42201516,0.93465656
70,1,0,0,1,0,0,0.92287064,0.67651862
29,0,1,1,0,0,0,-0.88430709,-0.31878862
45,0,0,1,1,0,0,0.92287064,0.14471886
51,0,0,0,0,1,0,-1.3346252,1.486135
61,1,0,1,0,0,0,1.0055935,2.7691662
47,1,0,1,1,0,0,0.37147778,0.089860938
38,0,1,1,0,1,0,2.2613785,0.57239592
66,0,1,1,1,0,0,1.1390746,0.73137653
55,0,0,1,0,0,0,0.12403375,-0.74437612
41,1,0,1,1,0,0,3.3965704,3.0927207
56,0,0,1,0,0,0,-0.66810316,-1.3225648
72,0,1,1,1,0,0,-0.72002757,-1.2022905
41,1,0,0,0,0,0,0.43468261,-0.47776923
52,1,1,1,0,0,0,1.0885372,0.82494074
71,0,0,1,1,0,0,1.2401494,1.0936371
73,1,0,0,0,1,0,-1.087402,-1.890195
60,0,0,1,0,0,0,1.0885372,-0.52206862
31,0,0,1,1,0,0,0.034901828,0.95368403
47,0,1,1,0,1,0,-1.3346252,0.57239592
43,0,0,0,1,0,0,0.92287064,0.67651862
45,0,1,0,0,0,0,0.33382866,-0.01985489
55,0,0,1,0,0,0,-0.45306543,-0.060650703
62,0,0,1,1,0,0,0.23799673,-0.069119677
73,1,1,1,1,0,0,0.93575889,0.73984551
39,1,0,1,0,1,0,0.43468261,0.47114906
48,0,1,1,0,0,0,1.1896119,1.4664563
42,0,1,1,0,0,0,0.0038825446,0.67651862
59,0,0,0,1,0,0,0.25088498,-0.050092168
57,1,1,0,0,1,0,-3.0785983,-3.0887823
54,0,1,1,0,1,0,-2.7110028,-1.6405261
57,1,0,0,1,0,0,2.895715,0.95368403
58,0,1,1,0,1,1,1.1080554,1.486135
56,1,1,0,0,0,0,-0.5670284,-1.212849
44,0,0,0,1,0,0,1.5066699,0.82494074
82,0,0,0,1,0,0,0.054419909,-0.35749486
55,1,0,0,0,1,0,1.1068891,1.0746096
61,0,1,1,0,1,0,-0.66810316,-1.3689538
53,0,1,1,0,0,0,-1.1002902,-1.416129
46,1,1,1,0,1,0,0.53714436,0.34240574
64,1,0,0,1,0,0,0.58768171,1.0197518
60,0,0,1,0,1,0,-0.5412519,-1.4203081
77,1,0,0,0,0,0,1.423947,1.0387793
62,0,0,0,1,0,0,0.28875491,0.82703024
61,1,1,1,1,0,0,1.1066682,-0.62619132
