"","taxrich","effort_rich","proso_rich","Age","female","Income","Education","party_left","party_right"
"95",0.2,1,0.5,48,0,NA,0.66666669,0,1
"96",0.30000001,0.16666667,0.16666667,39,0,0.80000001,0.66666669,0,1
"97",0.5,0.66666669,0.83333331,21,1,NA,0.33333334,1,0
"98",0.5,0.5,0.5,27,1,0.1,0.66666669,0,1
"99",0.2,0.33333334,1,50,1,NA,0,1,0
"100",1,0.83333331,0.66666669,47,0,0.89999998,0.5,0,1
"101",0.5,0.66666669,NA,27,0,0.30000001,0.83333331,1,0
"102",0.60000002,0.33333334,0.5,19,1,0,0.33333334,0,0
"103",0.5,0.66666669,0.66666669,64,0,0.30000001,0.16666667,1,0
"104",0,0,0,70,0,0.40000001,0.16666667,0,1
"105",0.5,0.5,0.5,43,0,0.69999999,0.16666667,0,1
"106",0.5,0.66666669,0.66666669,56,0,NA,0.33333334,0,1
"107",0.5,1,0.83333331,60,0,NA,0.33333334,0,1
"108",0.5,NA,NA,55,1,0.80000001,0.66666669,0,0
"109",0,0,0,33,1,NA,NA,1,0
"110",0.30000001,0.33333334,0.33333334,49,0,NA,0.16666667,1,0
"111",0.5,NA,NA,38,1,NA,0.33333334,0,0
"112",0.30000001,0.66666669,0.16666667,38,1,0.2,0,1,0
"113",0.69999999,1,0.66666669,40,1,0.5,0.83333331,0,0
"114",0.5,0.33333334,0.66666669,58,1,NA,0,0,0
"115",0.40000001,0.66666669,0.5,20,1,0,0,1,0
"116",0,0,0,36,0,NA,0.66666669,0,1
"117",0.5,1,1,68,1,0.40000001,0.16666667,0,1
"118",1,1,0.66666669,45,1,0.80000001,0.66666669,0,0
"119",1,0.16666667,0,63,0,NA,0.16666667,0,0
"120",0.2,0.83333331,0.83333331,37,1,0.30000001,0.66666669,0,1
"121",0.30000001,1,1,30,0,0.60000002,0.33333334,0,0
"122",0.5,0.66666669,0.5,18,1,NA,0,0,1
"123",0.5,NA,NA,24,1,NA,0.66666669,0,0
"124",0,0.5,0.16666667,39,0,0.5,0.16666667,1,0
"125",0,0.33333334,0.5,41,0,0.40000001,0.16666667,0,1
"126",0.40000001,0.83333331,NA,42,1,0.5,0.16666667,0,0
"127",NA,0.66666669,0.66666669,53,1,NA,0.16666667,NA,NA
"128",0.2,0.66666669,0.83333331,59,1,0.60000002,0.5,1,0
"129",0.5,0.66666669,0.66666669,50,1,0.60000002,0.5,0,1
"130",0.5,0.83333331,0.83333331,50,1,0.89999998,0.66666669,1,0
"131",0.5,0.66666669,0.5,36,0,NA,0.33333334,0,0
"132",0.40000001,0.33333334,0.33333334,48,0,0.2,0,0,0
"133",0.2,0.33333334,0.33333334,20,0,NA,0,1,0
"134",0.30000001,0.5,0.5,70,0,0.2,0.16666667,0,0
"135",1,1,0.5,37,0,NA,0.83333331,0,1
"136",0.5,0.66666669,NA,47,1,0.80000001,0,1,0
"137",0.80000001,0.66666669,0.66666669,42,0,0.60000002,0.16666667,1,0
"138",0.69999999,1,0,54,0,0.5,0,0,0
"139",0.30000001,0.66666669,0.66666669,46,0,0.69999999,0.16666667,0,1
"140",0.5,NA,NA,42,0,NA,0.83333331,0,0
"141",0.5,0.5,0.66666669,34,0,0.5,0.16666667,0,1
"142",0.5,NA,NA,51,0,NA,0,0,0
"143",0,0.66666669,0.5,56,1,0.60000002,0,1,0
"144",0.1,0.33333334,0,47,0,0.30000001,0.16666667,1,0
"145",0,1,0.5,57,0,0.60000002,0.16666667,0,1
"146",0.5,NA,0.5,22,1,0.1,0.33333334,0,1
"147",0.5,NA,NA,35,1,0.40000001,0,0,0
"148",0.30000001,0.33333334,NA,48,0,0.30000001,0.16666667,1,0
"149",0.30000001,0.5,0.66666669,23,1,0,0.66666669,0,1
"150",0.69999999,0.5,0.5,35,1,0.40000001,0,0,0
"151",0.5,NA,NA,24,1,NA,0.5,0,0
"152",1,0.83333331,0.83333331,52,0,1,0,0,0
"153",0.2,1,0.66666669,69,0,0.80000001,0.66666669,1,0
"154",0.40000001,NA,NA,39,0,0.40000001,0.66666669,0,0
"155",0,1,0.5,39,1,0.5,0.16666667,1,0
"156",0.5,0.83333331,0.5,68,0,0.40000001,0.66666669,1,0
"157",0.60000002,0.33333334,0.33333334,48,1,0.69999999,0.16666667,0,0
"158",0.2,0.16666667,0.5,19,0,NA,0,0,1
"159",0.40000001,NA,NA,45,0,0.5,0.16666667,0,0
"160",0.5,0.83333331,0.5,39,1,NA,0.66666669,0,0
"161",0.69999999,0.66666669,0.66666669,22,1,0.40000001,0.66666669,0,1
"162",0.5,0.83333331,0.5,58,0,0.60000002,0.16666667,0,1
"163",0.5,0.83333331,0.66666669,21,1,0,0.33333334,0,0
"164",0.2,0.66666669,NA,68,1,0.1,0.5,0,0
"165",0.5,0.66666669,0.66666669,71,0,0.30000001,0.66666669,1,0
"166",0.5,NA,NA,50,0,0.69999999,0.66666669,0,0
"167",0.30000001,0.5,0.66666669,62,1,0.30000001,0.66666669,1,0
"168",0.60000002,0.83333331,0.66666669,26,0,0.60000002,0.66666669,0,1
"169",0.5,0.66666669,0.66666669,62,0,0.2,0.16666667,0,1
"170",0.5,1,0.83333331,54,0,NA,0.16666667,0,0
"171",0.5,0.33333334,0.5,20,1,0.30000001,0,0,0
"172",0,0.66666669,0.5,48,1,NA,0.66666669,0,1
"173",0.60000002,0.83333331,0.5,28,1,0.69999999,0.66666669,0,1
"174",0.5,0.66666669,0.5,71,0,0.30000001,0.66666669,1,0
"175",0.2,0.83333331,0.66666669,46,1,0.60000002,0.33333334,0,0
"176",0.60000002,0.83333331,0.5,56,0,0.60000002,0.16666667,0,0
"177",0.30000001,NA,NA,37,1,0.40000001,0.66666669,1,0
"178",0.5,0.83333331,0.66666669,36,1,NA,0.16666667,0,0
"179",0.5,0.33333334,1,43,1,0.5,0.16666667,1,0
"180",0.5,0.83333331,0.83333331,55,0,0.80000001,0.83333331,0,0
"181",1,0.83333331,NA,70,0,0.40000001,0.83333331,0,1
"182",0.5,NA,NA,74,1,NA,0.5,0,1
"183",0.69999999,0.5,0.5,51,1,1,0.83333331,0,1
"184",0.5,0,0.16666667,19,1,NA,0.16666667,1,0
"185",0.69999999,0.83333331,0.33333334,48,1,0.60000002,0.16666667,0,1
"186",0,0.5,0.5,36,0,0.2,0,0,0
"187",0.5,0.83333331,0.33333334,56,0,NA,0.16666667,0,1
"188",0.60000002,0.5,0.5,59,1,0.60000002,0,1,0
"189",0.5,0.66666669,0.5,42,0,NA,0.5,0,1
"190",0.5,0.66666669,0.83333331,55,1,NA,0.5,0,1
"191",0,0.66666669,0.66666669,31,0,1,0.66666669,0,1
"192",0.5,0.83333331,0.83333331,42,1,0.40000001,0.16666667,0,0
"193",1,0.83333331,0.83333331,73,0,0.69999999,0.83333331,0,1
