country,year,company,pct_rev_change,prop_attn,prop_lead,prop_pay,prop_family,prop_harass
Greece,2007,103667,NA,0,0,0,0,0
Greece,2009,103667,1.8004103318620235,0,0,0,0,0
Greece,2014,103667,24.639318540243703,0,0,0,0,0
Greece,2008,103667,26.715084106023635,0,0,0,0,0
Greece,2011,103667,13.064784144644094,0,0,0,0,0
Greece,2010,103667,-5.09203668443724,0,0,0,0,0
Greece,2017,103667,4.686785589192399,0.06441915396177797,0.010736525660296328,0,0.05368262830148165,0
Greece,2016,103667,-3.2738710715426778,0.06507874528179097,0,0,0.06507874528179097,0
Greece,2012,103667,-2.219240592778604,0,0,0,0,0
Greece,2015,103667,8.322921797194983,0,0,0,0,0
Greece,2013,103667,4.483445000195219,0,0,0,0,0
Greece,2008,244664,NA,0,0,0,0,0
Greece,2012,244664,NA,0,0,0,0,0
Greece,2011,244664,NA,0,0,0,0,0
Greece,2014,244664,NA,0,0,0,0,0
Greece,2007,244664,NA,0,0,0,0,0
Greece,2010,244664,NA,0,0,0,0,0
Greece,2017,244664,NA,0,0,0,0,0
Greece,2016,244664,NA,0,0,0,0,0
Greece,2015,244664,NA,0,0,0,0,0
Greece,2009,244664,NA,0,0,0,0,0
Greece,2013,252564,56.72474353441122,0.25099351600083664,0.06274837900020916,0,0.18824513700062748,0
Greece,2016,252564,-1.7755601648041575,0,0,0,0,0
Greece,2008,252564,4.589836369238731,0.27994401119776047,0.03999200159968006,0,0.23995200959808036,0
Greece,2017,252564,10.73312695610953,0,0,0,0,0
Greece,2010,252564,NA,0.2556610664718773,0.08522035549062576,0,0.15826637448259068,0.012174336498660824
Greece,2011,252564,NA,0.2513136851724926,0.04569339730408956,0,0.205620287868403,0
Greece,2014,252564,3.5237949577880956,0.006810133478616181,0,0,0.006810133478616181,0
Greece,2007,252564,NA,0.36162005785920925,0,0,0.36162005785920925,0
Greece,2015,252564,-7.187274787632791,0.018383479379863964,0.012255652919909309,0,0.0061278264599546545,0
Greece,2012,252564,-34.04633332121742,0.3928571428571429,0.05952380952380953,0,0.33333333333333337,0
Greece,2009,252564,1.8949392034815826,0.17123287671232876,0.062266500622665005,0,0.09339975093399751,0.015566625155666251
Greece,2011,264824,NA,0,0,0,0,0
Greece,2008,264824,NA,0,0,0,0,0
Greece,2013,264824,NA,0,0,0,0,0
Greece,2007,264824,NA,0,0,0,0,0
Greece,2015,264824,NA,0,0,0,0,0
Greece,2016,264824,NA,0,0,0,0,0
Greece,2009,264824,NA,0,0,0,0,0
Greece,2012,264824,NA,0,0,0,0,0
Greece,2010,264824,NA,0,0,0,0,0
Italy,2012,462492,2.316657844296044,0.03323777473098176,0.012464165524118161,0,0.01661888736549088,0.00415472184137272
Italy,2016,462492,9.586286735585038,0.011058277120424639,0.011058277120424639,0,0,0
Italy,2007,462492,NA,0,0,0,0,0
Italy,2009,462492,2.4309404323715977,0,0,0,0,0
Italy,2013,462492,-2.123643562391697,0.027760152284263963,0.015862944162436547,0,0.007931472081218274,0.003965736040609137
Italy,2014,462492,7.51829521428089,0.025111957477085337,0.012555978738542669,0,0.012555978738542669,0
Italy,2017,462492,11.728651651182552,0,0,0,0,0
Italy,2008,462492,-3.9672843886708,0,0,0,0,0
Italy,2011,462492,16.85449430585684,0.012509903673741713,0.008339935782494473,0,0,0.004169967891247237
Italy,2010,462492,7.771919784728909,0.012569130216189038,0,0,0.008379420144126027,0.004189710072063014
Italy,2015,462492,16.05578883213179,0.016864117374256925,0.016864117374256925,0,0,0
Greece,2013,101248,-7.318920530788731,0,0,0,0,0
Greece,2010,101248,-8.71890248937367,0.018467220683287162,0,0,0.018467220683287162,0
Greece,2017,101248,8.05349698934692,0.03784151971543177,0,0,0.03784151971543177,0
Greece,2007,101248,NA,0.01618384851917786,0,0,0.01618384851917786,0
Greece,2011,101248,-12.717373043804137,0.01877581674802854,0,0,0.01877581674802854,0
Greece,2008,101248,8.519650467048345,0,0,0,0,0
Greece,2009,101248,0.8801992844166273,0,0,0,0,0
Greece,2012,101248,-17.24820356917246,0.009151642719868215,0,0,0.009151642719868215,0
Greece,2016,101248,-1.9103125643337382,0.03818834491713129,0,0,0.03818834491713129,0
Greece,2015,101248,-5.908638528384314,0,0,0,0,0
Greece,2014,101248,-3.661447977194776,0,0,0,0,0
Italy,2008,327839,14.823175319789318,0,0,0,0,0
Italy,2010,327839,10.005350454788653,0,0,0,0,0
Italy,2007,327839,NA,0,0,0,0,0
Italy,2011,327839,14.785992217898825,0,0,0,0,0
Italy,2016,327839,5.218914185639223,0.0238796465812306,0.018573058452068244,0,0.0053065881291623545,0
Italy,2013,327839,2.564102564102555,0.00400416433090414,0,0,0.00400416433090414,0
Italy,2015,327839,7.614021862042963,0.028419366506484783,0.020668630186534385,0,0.0077507363199503946,0
Italy,2017,327839,1.897470039946736,0.032194155522535906,0.024764735017335313,0,0.007429420505200594,0
Italy,2009,327839,22.477064220183497,0,0,0,0,0
Italy,2014,327839,5.277777777777781,0.005323112956456936,0,0,0.005323112956456936,0
Italy,2012,327839,4.110169491525428,0.008687342541916427,0,0,0.008687342541916427,0
Italy,2016,304038,5.299801516536595,0,0,0,0,0
Italy,2010,304038,13.153448335445761,0.0044628910608292055,0,0,0.0044628910608292055,0
Italy,2013,304038,3.8917211283518327,0.003812428516965307,0,0,0.003812428516965307,0
Italy,2017,304038,18.435455001462753,0.18353941267387944,0.028979907264296754,0,0.1545595054095827,0
Italy,2009,304038,32.21896059662639,0.004649865153910537,0,0,0.004649865153910537,0
Italy,2012,304038,-1.850166335209824,0.0039441508243275225,0,0,0.0039441508243275225,0
Italy,2008,304038,32.15214208893451,0.004943153732081067,0,0,0.004943153732081067,0
Italy,2011,304038,8.827923669843507,0.0044636878989421066,0,0,0.0044636878989421066,0
Italy,2015,304038,4.382297425337778,0,0,0,0,0
Italy,2007,304038,NA,0,0,0,0,0
Italy,2014,304038,-0.29894621274051403,0,0,0,0,0
Italy,2013,394062,4.635597421913729,0.03734780768368896,0,0,0.03734780768368896,0
Italy,2009,394062,0.3336497253142445,0.03810315563407115,0,0,0.03810315563407115,0
Italy,2007,394062,NA,0,0,0,0,0
Italy,2014,394062,20.421701018715943,0.031280829663851394,0.002406217666450107,0,0.028874611997401288,0
Italy,2015,394062,4.347826086956519,0.024696846212738634,0,0,0.024696846212738634,0
Italy,2008,394062,6.269948349020993,0.0032801941874959,0,0,0.0032801941874959,0
Italy,2016,394062,3.393665158371051,0.026334500829536776,0,0,0.026334500829536776,0
Italy,2011,394062,4.053333333333331,0.028401022436807723,0,0,0.028401022436807723,0
Italy,2010,394062,7.502221712582058,0.03584443515144274,0,0,0.03584443515144274,0
Italy,2017,394062,8.916849015317286,0.027010435850214856,0,0,0.027010435850214856,0
Italy,2012,394062,3.382880574064573,0.027428989394124102,0,0,0.027428989394124102,0
Greece,2011,201615,5.720531862985978,0.005540780141843972,0,0,0.005540780141843972,0
Greece,2012,201615,-11.970075193820362,0.01091167003109826,0,0,0.01091167003109826,0
Greece,2016,201615,-12.367887301722236,0.006517417799068009,0,0,0.006517417799068009,0
Greece,2014,201615,2.3778775893344983,0,0,0,0,0
Greece,2017,201615,-4.038300251607496,0.0031440608690184247,0,0,0.0031440608690184247,0
Greece,2013,201615,-11.757075618345159,0,0,0,0,0
Greece,2010,201615,-0.5317970429466135,0,0,0,0,0
Greece,2015,201615,-16.3878211028176,0.0038877225721172535,0,0,0.0038877225721172535,0
Greece,2009,201615,-13.770380201917687,0,0,0,0,0
Greece,2008,201615,27.432801554221054,0,0,0,0,0
Greece,2007,201615,NA,0.013232764324467381,0,0,0.013232764324467381,0
Greece,2017,451549,NA,0,0,0,0,0
Greece,2013,451549,NA,0,0,0,0,0
Greece,2007,451549,NA,0,0,0,0,0
Greece,2014,451549,NA,0,0,0,0,0
Greece,2011,451549,NA,0,0,0,0,0
