techzip2,groupcat1,groupcat2,group_placzcat21,group_placzcat22,group_placzcat23,indian_traits,threatened2,dscore2,female,age,married,pid,educ,racewhite,income2,h1bvisas_scale,agesq,h1bvisas_indicator
1,1,0,1,0,0,.30000001,0,.44742495,0,.027777778,0,.40000001,.40000001,0,.22222222,.75,.00077160494,1
1,0,0,0,0,0,.44999999,1,.32758844,1,.30555555,1,0,.80000001,0,.44444445,.25,.093364194,0
1,1,0,1,0,0,.30000001,0,.70456982,0,.33333334,0,.80000001,1,1,.55555558,1,.11111112,1
1,0,0,0,1,0,.30000001,.5,.74787986,0,.47222221,0,.40000001,.40000001,1,.66666669,.75,.22299382,1
0,1,0,1,0,0,.25,0,.55224895,0,.3888889,0,.80000001,1,0,0,.5,.15123457,1
0,0,1,0,0,1,.44999999,.25,.86303818,0,.40277779,1,.80000001,.80000001,1,.55555558,.25,.16222996,0
0,1,0,1,0,0,.40000001,1,.70417905,1,.83333331,0,1,.80000001,1,0,0,.69444442,0
0,1,0,1,0,0,.44999999,1,.36113948,1,.29166666,1,.40000001,.40000001,1,.11111111,0,.08506944,0
0,0,0,0,0,0,.25,.75,.62032157,1,.083333336,1,.80000001,.2,1,.22222222,.25,.006944445,0
0,1,0,1,0,0,.44999999,.5,.61980867,1,.44444445,0,.2,.2,1,0,0,.19753087,0
0,1,0,1,0,0,.60000002,.25,.45876718,1,.1388889,0,.40000001,0,1,0,.25,.019290125,0
0,1,0,1,0,0,.15000001,1,.5539462,0,.47222221,1,.60000002,1,1,.66666669,0,.22299382,0
0,1,0,1,0,0,.40000001,.75,.38085777,0,.25,1,.60000002,0,1,0,0,.0625,0
0,1,0,1,0,0,,.75,.59950626,0,.52777779,0,.80000001,.40000001,1,0,0,.2785494,0
0,1,0,1,0,0,.25,.25,.62597322,1,.54166669,1,.40000001,.2,1,.44444445,.25,.29340279,0
0,1,0,1,0,0,.55000001,.5,.63200599,1,.625,1,.2,.2,1,.11111111,0,.390625,0
0,0,0,0,0,0,.80000001,1,.56549948,0,.54166669,0,0,.2,1,0,0,.29340279,0
0,0,0,0,0,0,.40000001,1,.50074697,1,.2361111,1,.80000001,.60000002,1,.55555558,0,.055748455,0
0,0,0,0,0,0,.60000002,1,.70805264,1,.40277779,1,1,.2,1,.22222222,0,.16222996,0
0,1,0,1,0,0,,.75,.70669305,1,.6111111,1,.40000001,.2,1,.55555558,.5,.37345678,1
0,0,0,0,0,0,.5,.5,.73028862,1,.5,1,.40000001,0,1,.22222222,0,.25,0
0,1,0,1,0,0,.30000001,1,.55458015,1,.22222222,0,0,.2,1,0,0,.049382716,0
0,0,0,0,0,0,.25,0,.66630214,1,.43055555,1,.60000002,.60000002,1,.11111111,.5,.18537809,1
0,1,0,1,0,0,.1,0,.68841636,1,.56944442,1,.40000001,1,1,.33333334,.25,.32426694,0
0,1,0,1,0,0,.30000001,.75,.62295675,0,.625,1,.60000002,.40000001,1,.44444445,0,.390625,0
0,1,0,1,0,0,.15000001,0,.57834136,0,.66666669,0,1,.40000001,0,0,0,.44444448,0
0,0,0,0,0,0,.25,.5,.4537974,1,.4861111,1,.2,.60000002,1,.22222222,.25,.236304,0
0,1,0,1,0,0,.15000001,.75,.61785012,1,.58333331,1,.2,.40000001,1,0,.25,.34027776,0
0,1,0,1,0,0,.2,.75,.55260777,1,.56944442,1,.2,.2,1,.22222222,0,.32426694,0
0,0,0,0,0,0,.40000001,.5,.39861727,1,.2638889,1,0,1,1,.8888889,.5,.069637351,1
0,1,0,1,0,0,.30000001,.5,.69338715,1,.1388889,0,.80000001,.2,1,0,.25,.019290125,0
0,1,0,1,0,0,.25,.5,.40913934,1,.6111111,1,1,.2,1,0,0,.37345678,0
0,1,0,1,0,0,0,0,.74546039,0,.81944442,0,.80000001,1,1,0,.5,.67148918,1
0,1,0,1,0,0,.25,.5,.61693281,1,.375,1,.40000001,.60000002,1,.11111111,.5,.140625,1
1,0,0,0,0,0,.2,.5,.6167016,1,.6111111,1,0,.80000001,0,.77777779,.5,.37345678,1
1,1,0,1,0,0,.2,1,.15695144,1,.8611111,0,0,.40000001,0,.33333334,0,.74151236,0
1,0,0,0,0,0,.40000001,.25,.60023415,1,.15277778,1,0,1,0,0,1,.023341049,1
1,0,0,0,0,0,.2,.25,.53751153,0,.3888889,1,0,1,0,1,.25,.15123457,0
1,0,0,0,0,0,,.25,.29146722,1,.30555555,0,.60000002,.80000001,1,.33333334,.75,.093364194,1
1,1,0,1,0,0,.60000002,.25,.22969642,1,.44444445,0,0,0,0,0,.75,.19753087,1
1,1,0,1,0,0,.1,0,.61047673,0,.013888889,0,.60000002,0,0,.33333334,1,.00019290124,1
1,1,0,1,0,0,.1,0,.45043883,0,.6388889,0,.80000001,.80000001,1,.77777779,.25,.40817901,0
1,0,0,0,0,0,.25,1,.50196874,0,.5,1,.60000002,.80000001,1,1,.25,.25,0
1,0,0,0,0,0,.1,0,.42201787,1,.44444445,0,.40000001,1,1,.22222222,.5,.19753087,1
1,0,0,0,0,0,,0,.56469142,0,.19444445,1,0,.40000001,1,.55555558,.5,.037808642,1
1,0,0,0,0,0,.34999999,0,.53386647,0,.1388889,0,.80000001,.80000001,1,.55555558,1,.019290125,1
1,0,0,0,1,0,,.25,.59598386,1,.5,0,0,1,1,.66666669,.5,.25,1
1,0,0,0,0,0,.44999999,.5,.5159325,0,.15277778,0,0,1,1,1,.75,.023341049,1
1,0,0,0,0,0,.25,.5,.37822261,1,.59722221,1,0,1,0,.44444445,0,.35667437,0
1,1,0,1,0,0,.34999999,.75,.65796936,0,.4861111,0,0,.2,0,0,0,.236304,0
1,0,0,0,0,0,,0,.36387655,0,.34722221,0,.40000001,.80000001,0,.22222222,.5,.12056326,1
1,1,0,1,0,0,,0,.33225253,0,.65277779,0,0,.80000001,0,.11111111,.25,.42611885,0
1,1,0,1,0,0,.34999999,.5,.47359869,0,.80555558,0,0,1,0,.22222222,.25,.64891982,0
1,1,0,1,0,0,.15000001,.75,.5021652,0,.3888889,0,0,.2,0,.22222222,0,.15123457,0
